queue_length,estimated_time,category,hour_of_day,day_of_week,is_weekend,wait_time
62,25,Transport,12,1,0,500.0
47,40,Legal,10,0,0,500.0
53,30,Identity,17,5,1,500.0
54,20,Civil Records,12,5,1,500.0
36,25,Transport,10,1,0,500.0
68,20,Civil Records,11,5,1,500.0
76,30,Identity,10,2,0,500.0
50,20,Civil Records,13,2,0,500.0
41,30,Identity,9,3,0,500.0
60,35,Finance,10,1,0,500.0
34,20,Civil Records,16,1,0,500.0
73,35,Finance,17,5,1,500.0
12,25,Transport,8,3,0,229.08707553739097
78,20,Civil Records,10,0,0,500.0
32,25,Transport,11,3,0,500.0
0,25,Transport,17,6,1,1.0
45,45,Travel,12,4,0,500.0
14,25,Transport,9,1,0,288.2993196229632
41,30,Identity,13,2,0,500.0
38,25,Transport,15,5,1,500.0
57,20,Civil Records,14,5,1,500.0
14,30,Identity,12,4,0,500.0
10,40,Legal,15,5,1,412.45412117041366
7,45,Travel,14,6,1,400.73344451978585
20,40,Legal,12,4,0,500.0
26,35,Finance,10,3,0,500.0
37,30,Identity,10,3,0,500.0
38,20,Civil Records,12,6,1,500.0
31,30,Identity,11,1,0,500.0
54,35,Finance,9,6,1,500.0
6,45,Travel,11,0,0,204.581911892189
0,30,Identity,12,3,0,1.0
9,35,Finance,9,5,1,254.50742669381393
60,45,Travel,14,1,0,500.0
69,25,Transport,9,2,0,500.0
5,40,Legal,14,1,0,294.8603792368755
32,25,Transport,12,6,1,500.0
77,35,Finance,13,2,0,500.0
47,35,Finance,13,0,0,500.0
67,35,Finance,10,1,0,500.0
73,25,Transport,16,1,0,500.0
59,30,Identity,17,6,1,500.0
15,35,Finance,16,5,1,500.0
15,30,Identity,13,5,1,500.0
56,45,Travel,8,1,0,500.0
79,30,Identity,17,4,0,500.0
8,30,Identity,14,3,0,453.6214408590191
45,45,Travel,14,6,1,500.0
12,35,Finance,16,2,0,500.0
63,45,Travel,13,6,1,500.0
28,45,Travel,15,1,0,500.0
32,45,Travel,13,4,0,500.0
16,45,Travel,14,1,0,500.0
25,45,Travel,9,6,1,500.0
78,45,Travel,8,3,0,500.0
11,20,Civil Records,8,5,1,126.78029686572089
44,45,Travel,11,0,0,500.0
5,40,Legal,17,0,0,176.07961704235515
9,45,Travel,13,5,1,500.0
46,35,Finance,8,1,0,500.0
17,30,Identity,15,1,0,500.0
32,35,Finance,11,5,1,500.0
77,45,Travel,16,4,0,500.0
67,30,Identity,12,1,0,500.0
39,45,Travel,8,1,0,500.0
78,20,Civil Records,11,4,0,500.0
43,35,Finance,13,6,1,500.0
1,40,Legal,9,0,0,23.42349856132279
37,30,Identity,12,4,0,500.0
64,20,Civil Records,11,0,0,500.0
3,20,Civil Records,15,3,0,74.26112652955514
33,40,Legal,10,2,0,500.0
31,35,Finance,16,2,0,500.0
7,20,Civil Records,17,0,0,127.97492381317261
68,20,Civil Records,9,5,1,500.0
57,40,Legal,14,2,0,500.0
56,20,Civil Records,13,5,1,500.0
27,20,Civil Records,9,1,0,489.30577585241986
71,35,Finance,11,2,0,500.0
68,20,Civil Records,16,2,0,500.0
44,40,Legal,15,6,1,500.0
56,40,Legal,8,2,0,500.0
34,20,Civil Records,17,1,0,500.0
24,40,Legal,8,6,1,500.0
38,40,Legal,11,6,1,500.0
41,30,Identity,17,3,0,500.0
56,45,Travel,17,2,0,500.0
42,40,Legal,15,3,0,500.0
56,40,Legal,15,4,0,500.0
32,45,Travel,15,1,0,500.0
57,20,Civil Records,14,6,1,500.0
40,20,Civil Records,13,4,0,500.0
46,30,Identity,14,0,0,500.0
29,35,Finance,17,3,0,500.0
