service_type,day_of_week,is_weekend,hour_of_day,slot_booking_count,avg_hourly_bookings,avg_service_duration_minutes,historical_avg_wait,expected_wait_minutes
license,0,0,9,6,6,25.19,101.1,142.56
license,3,0,9,3,12,24.52,45.96,72.6
nic,5,1,15,5,5,14.93,50.55,72.33
nic,5,1,13,3,9,19.96,45.91,66.94
nic,3,0,9,4,11,17.89,48.89,68.44
passport,0,0,14,12,15,37.42,297.58,240
nic,5,1,9,7,8,17.6,83.24,108.54
passport,3,0,15,11,14,29.94,206.75,240
license,5,1,15,10,12,21.07,135.68,194.17
license,5,1,14,8,12,27.48,143.21,217.99
nic,6,1,11,5,10,22.42,67.49,101.5
passport,3,0,15,7,10,32.8,149.46,233.32
passport,5,1,14,5,15,23.09,96.04,135.26
nic,6,1,9,7,8,19.94,86.17,113.73
passport,3,0,14,15,16,39.81,385.28,240
license,4,0,11,9,13,20.38,117.96,187.14
nic,5,1,15,5,13,21.83,86.87,112.86
license,4,0,14,8,16,27.67,154.34,240
license,0,0,14,10,15,31.41,197.08,240
nic,1,0,14,7,15,17.45,76.38,138.88
license,6,1,10,9,13,21.01,120.98,183.27
nic,4,0,15,5,8,12.13,29.81,65.81
passport,3,0,14,9,17,32.76,192.29,240
nic,0,0,15,6,9,15.88,75.07,95.42
nic,4,0,10,7,16,11.78,50.47,95.65
nic,6,1,13,4,11,15.57,47.45,75.89
passport,3,0,13,12,15,28.71,214.46,240
nic,1,0,10,10,13,22.06,137.69,219.71
nic,6,1,9,0,9,16.78,5,4.36
nic,6,1,10,6,11,21.99,87.59,130.37
nic,1,0,13,12,13,24.28,183.13,240
license,6,1,14,12,12,20.07,158.61,240
nic,4,0,15,2,9,22.96,33.57,40.27
nic,0,0,14,9,15,19.24,102.63,179.54
nic,3,0,9,9,9,17.0,98.37,153.43
license,4,0,11,11,15,22.92,162.63,240
passport,1,0,15,7,10,40.46,176.01,240
license,0,0,9,7,7,22.89,109.14,157.28
nic,1,0,11,7,16,14.73,65.2,120.69
license,0,0,15,7,13,20.92,85.39,133.59
